C3:C4:C1:C2
Material	Number of occurrences	C1:virus	C1:bacteria	C1:fungus	C1:plant	C1:animalia 	C1:insect	C1:fish	C1:arachnid	C2:molecular entity	C2:cellular part	C2:cell	C2:tissue	C2:organism	C2:organ	C3:biological	C3:device	C3:chemical	C3:data	C4:raw data	C4:processed data	C4:analysed data
haplochromis burtoni	22													1		1						
clostridium beijerinckii	22													1		1						
rhodococcus jostii rha1	22													1		1						
cichorium intybus	22													1		1						
pinus radiata	22													1		1						
vicia narbonensis	21													1		1						
bubalus bubalis	21													1		1						
frankia alni acn14a	21													1		1						
streptococcus pneumoniae tigr4	21													1		1						
physcomitrella patens	21													1		1						
corynebacterium glutamicum	20													1		1						
julidochromis transcriptus	20													1		1						
uncultured organism	20													1		1						
julidochromis marlieri	20													1		1						
citrus aurantifolia	20													1		1						
clostridium perfringens str. 13	20													1		1						
gibberella fujikuroi	20													1		1						
tetraodon nigroviridis	20													1		1						
ferroglobus placidus dsm 10642	20													1		1						
pseudomonas fluorescens	20													1		1						
culex quinquefasciatus	20													1		1						
gossypium mustelinum	19													1		1						
pachycladon novaezelandiae	19													1		1						
pectobacterium atrosepticum	19													1		1						
cucumis melo	19													1		1						
betula pendula	19													1		1						
trichoderma reesei qm6a	18													1		1						
salmonella enterica subsp. enterica serovar choleraesuis	18													1		1						
streptococcus pyogenes mgas6180	18													1		1						
moniezia expansa	18													1		1						
salmonella enterica subsp. enterica serovar infantis	18													1		1						
lactococcus lactis subsp. lactis il1403	18													1		1						
moraxella catarrhalis rh4	18													1		1						
dermacentor andersoni	18													1		1						
sphingomonas paucimobilis	18													1		1						
heterodera glycines	18													1		1						
gossypium tomentosum	18													1		1						
chlamydia trachomatis	18													1		1						
bemisia tabaci	18													1		1						
buchnera aphidicola	18													1		1						
staphylococcus aureus subsp. aureus nctc 8325	18													1		1						
neisseria meningitidis mc58	18													1		1						
epinephelus tauvina	18													1		1						
cannabis sativa	18													1		1						
human herpesvirus 5 strain towne	18													1		1						
saccharomyces cerevisiae s288c	18													1		1						
dictyostelium purpureum	18													1		1						
leptospira interrogans	18													1		1						
arabidopsis	18													1		1						
vitis sp. cv. 'norton'	18													1		1						
solanum pimpinellifolium	18													1		1						
pyrococcus furiosus dsm 3638	18													1		1						
dehalococcoides ethenogenes 195	17													1		1						
pan paniscus	17													1		1						
clostridium perfringens	17													1		1						
clostridium difficle	17													1		1						
moraxella catarrhalis	16													1		1						
acanthopleura hirtosa	16													1		1						
pichia angusta ncyc 495 leu1.1	16													1		1						
callithrix jacchus	16													1		1						
lepeophteirus salmonis	16													1		1						
citrobacter rodentium	16													1		1						
brucella melitensis	16													1		1						
lactobacillus salivarius	16													1		1						
thermoproteus tenax	16													1		1						
human herpesvirus 8 strain rkshv.219	16													1		1						
xylella fastidiosa temecula1	16													1		1						
zea mays subsp. parviglumis	16													1		1						
drosophila sechellia x drosophila simulans	15													1		1						
trypanosoma brucei treu927	15													1		1						
methanobacterium thermoautotrophicum	15													1		1						
brassica oleracea	15													1		1						
salmonella enterica serovar typhimurium	15													1		1						
drosophila mauritiana	15													1		1						
aquilegia formosa	15													1		1						
gossypium darwinii	15													1		1						
naegleria gruberi	15													1		1						
xylella fastidiosa 9a5c	15													1		1						
bacteroides fragilis nctc 9343	15													1		1						
pachycladon enysii	15													1		1						
oryza longistaminata	15													1		1						
sarcophilus harrisii	15													1		1						
rubus idaeus	15													1		1						
falco rusticolus	15													1		1						
paenibacillus vortex	14													1		1						
dicentrarchus labrax	14													1		1						
human herpesvirus 8	14													1		1						
pachycladon cheesemanii	14													1		1						
rhizobium etli cfn 42	14													1		1						
ixodes scapularis	14													1		1						
escherichia coli str. k 12 substr. w3110	13													1		1						
leishmania braziliensis	13													1		1						
hypocrea lixii	13													1		1						
sordaria macrospora	13													1		1						
senecio squalidus subsp. squalidus	13													1		1						
arabidopsis lyrata subsp. petraea	12													1		1						
dechlorinating enrichment culture kb 1	12													1		1						
clostridium sporogenes	12													1		1						
papio anubis	12													1		1						
pachycladon fastigiatum	12													1		1						
agrobacterium tumefaciens str. c58	12													1		1						
vitis rotundifolia	12													1		1						
lytechinus pictus	12													1		1						
vibrio fischeri	12													1		1						
apis dorsata	12													1		1						
helicobacter hepaticus	12													1		1						
mus musculus musculus x mus musculus castaneus	12													1		1						
salmonella enterica subsp. enterica serovar oranienburg	12													1		1						
uncultured microorganism	12													1		1						
apis cerana	12													1		1						
leymus triticoides	12													1		1						
saccharum sp.	12													1		1						
citrullus lanatus	12													1		1						
citrus limon x citrus reticulata	12													1		1						
oryzias latipes	12													1		1						
salmonella enterica subsp. enterica serovar agona	12													1		1						
xanthomonas oryzae pv. oryzicola bls256	12													1		1						
listeria monocytogenes serotype 4b str. f2365	12													1		1						
trifolium repens	12													1		1						
salmonella enterica subsp. enterica serovar abortusovis	12													1		1						
anopheles gambiae s.s.	12													1		1						
pomacentrus moluccensis	12													1		1						
citrus limon	12													1		1						
saccharomyces cerevisiae x saccharomyces uvarum	12													1		1						
eubalaena glacialis	12													1		1						
campylobacter jejuni subsp. jejuni 81 176	12													1		1						
nitrosomonas europaea atcc 19718	12													1		1						
mus musculus musculus x mus musculus domesticus	12													1		1						
salmonella enterica subsp. enterica serovar thompson	12													1		1						
homo sapien	12													1		1						
lactococcus garvieae	12													1		1						
manduca sexta	12													1		1						
penaeus monodon	12													1		1						
fragaria x ananassa	12													1		1						
staphylococcus aureus subsp. aureus mu50	12													1		1						
apis florea	12													1		1						
puccinia graminis f. sp. tritici	12													1		1						
human gut metagenome	12													1		1						
vibrio parahaemolyticus rimd 2210633	12													1		1						
haemophilus influenzae r2866	12													1		1						
saccharum officinarum complex	12													1		1						
salmonella enterica subsp. enterica serovar senftenberg	12													1		1						
bordetella holmesii	12													1		1						
cryptococcus neoformans var. neoformans	12													1		1						
pachycladon exile	12													1		1						
saccharopolyspora erythraea	12													1		1						
salmonella enterica subsp. enterica serovar muenster	12													1		1						
nicotiana	12													1		1						
bacillus thuringiensis bt407	12													1		1						
leymus cinereus	12													1		1						
pasteurella multocida subsp. multocida str. pm70	12													1		1						
pseudomonas aeruginosa ucbpp pa14	12													1		1						
litomosoides sigmodontis	12													1		1						
campylobacter jejuni subsp. jejuni 81116	12													1		1						
salmonella enterica subsp. enterica serovar java	12													1		1						
pleuronichthys verticalis	12													1		1						
shewanella oneidensis	12													1		1						
hypomesus transpacificus	12													1		1						
methanosarcina barkeri	11													1		1						
clostridium thermocellum atcc 27405	11													1		1						
desulfovibrio vulgaris	11													1		1						
burkholderia mallei	11													1		1						
pectobacterium carotovorum	11													1		1						
peromyscus polionotus	11													1		1						
aegilops tauschii x triticum turgidum	11													1		1						
streptomyces scabiei	11													1		1						
ureaplasma parvum	11													1		1						
escherichia coli dh5[alpha]	10													1		1						
proteus mirabilis hi4320	10													1		1						
mus musculus musculus	10													1		1						
lactococcus lactis subsp. cremoris	10													1		1						
prochlorococcus marinus str. mit 9515	10													1		1						
prochlorococcus marinus str. mit 9312	10													1		1						
harpegnathos saltator	10													1		1						
